Menu_Item_ID,Year,Restaurant_Item_Name,restaurant,Restaurant_ID,Item_Name,Item_Description,Food_Category,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber
65047,2017,7 Eleven Southwest Turkey Sandwich,7 Eleven,1,Southwest Turkey Sandwich,"Southwest Turkey Sandwich on Cracked Wheat Bread w/ Smoked Turkey Breast, Monterey Jack Cheese, Lettuce, Southwest Mayonnaise & Chipotle Flavor, Sandwiches, Food",Sandwiches,227,,g,,560,28,7,0,60,1360,,48,19,7,2
90006,2017,7 Eleven BLT Salad,7 Eleven,1,BLT Salad,"BLT Salad, Salads, Food",Salads,227,,g,,270,18,4,0,40,910,,12,16,3,3
90007,2017,7 Eleven Chicken Caesar Salad,7 Eleven,1,Chicken Caesar Salad,"Chicken Caesar Salad w/ Romaine Lettuce, Parmesan & Romano Cheese, Dehydrated Parsley, Garlic, Cheese, Croutons, Chicken Breast Meat w/ Rib Meat & Caesar Dressing, Salads, Food",Salads,213,,g,,390,28,7,0,55,1060,,17,16,4,2
90009,2017,7 Eleven 7 Select Go!Smart Turkey Sandwich,7 Eleven,1,7 Select Go!Smart Turkey Sandwich,"7 Select Go!Smart Turkey Sandwich on Wheat Bread w/ Oven Roasted Turkey, Tomato Slices & Green Leaf Lettuce, Sandwiches, Food",Sandwiches,204,,g,,300,2.5,1.5,0,35,950,,48,15,8,3
90010,2017,7 Eleven Chicken Salad Sandwich,7 Eleven,1,Chicken Salad Sandwich,"Chicken Salad Sandwich on Wheat Bread, Sandwiches, Food",Sandwiches,176,,g,,400,14,3,0,50,840,,44,18,6,2
112746,2017,7 Eleven Italian Melt,7 Eleven,1,Italian Melt,"Italian Melt on Basil Tuscan Roll w/ Cooked Ham, Creamy Italian Dressing, Dried Bell Pepper, Spice, Provolone Cheese, Genoa Salami, Pepperoni & Pepperoni Peppers, Sandwiches",Sandwiches,224,,g,,610,39,13,0,65,1870,,38,26,3,2
112747,2017,7 Eleven Steak & Cheese Melt Sandwich,7 Eleven,1,Steak & Cheese Melt Sandwich,"Steak & Cheese Melt Sandwich w/ Shaved Steak, Green Peppers, Yellow Onions, Cracked Peppercorn Sauce & American Cheese on Italian Bun, Sandwiches, Food",Sandwiches,224,,g,,680,35,12,1,110,1280,,57,31,5,2
112748,2017,7 Eleven Chicken Bacon Ranch Melt Sandwich,7 Eleven,1,Chicken Bacon Ranch Melt Sandwich,"Chicken Bacon Ranch Melt Sandwich on Roll w/ Chicken Breast, Ranch Dressing, Cheddar Cheese & Bacon, Sandwiches, Food",Sandwiches,209,,g,,560,22,7,0,70,1630,,56,30,4,2
258,2017,Arby's Buttermilk Chicken Cordon Bleu Sandwich,Arby's,3,Buttermilk Chicken Cordon Bleu Sandwich,"Buttermilk Chicken Cordon Bleu Sandwich on Star Cut Bun w/ Buttermilk Chicken Fillet, Ham, Swiss Cheese & Mayonnaise, Chicken, Ham, Signature Sandwiches",Sandwiches,270,,g,,690,35,10,0,110,2000,,53,41,7,1
527,2017,"Arby's Roast Beef Sandwich, Max",Arby's,3,"Roast Beef Sandwich, Max","Roast Beef Sandwich on Sesame Seed Bun w/ Roast Beef, Roast Beef, Arby's Roast Beef Sandwiches, Sandwiches, Max; Choice of Adding: Horsey Sauce, Arby's Sauce",Sandwiches,267,,g,,560,27,11,1.5,115,1830,,38,43,5,2
528,2017,"Arby's Roast Beef Sandwich, Mid",Arby's,3,"Roast Beef Sandwich, Mid","Roast Beef Sandwich on Sesame Seed Bun w/ Roast Beef, Roast Beef, Arby's Roast Beef Sandwiches, Mid; Choice of Adding: Arby's Sauce & Horsey Sauce",Sandwiches,210,,g,,460,20,8,1,80,1400,,37,33,5,2
529,2017,"Arby's Roast Beef Sandwich, Classic",Arby's,3,"Roast Beef Sandwich, Classic","Roast Beef Sandwich on Sesame Seed Bun w/ Roast Beef, Roast Beef, Arby's Roast Beef Sandwiches, Classic; Choice of Adding: Arby's Sauce or Horsey Sauce",Sandwiches,154,,g,,360,14,5,0.5,50,970,,37,23,5,2
530,2017,"Arby's Beef n Cheddar Sandwich, Classic",Arby's,3,"Beef n Cheddar Sandwich, Classic","Beef n Cheddar on Onion Roll w/ Red Ranch Sauce, Roast Beef & Cheddar Cheese Sauce, Arby's Roast Beef Sandwiches, Classic; Choice of Adding: Horsey Sauce or Arby's Sauce",Sandwiches,195,,g,,450,20,6,1,50,1280,,45,23,9,2
531,2017,"Arby's Beef n Cheddar Sandwich, Mid",Arby's,3,"Beef n Cheddar Sandwich, Mid","Beef n Cheddar on Onion Roll w/ Red Ranch Sauce, Roast Beef & Cheddar Cheese Sauce, Roast Beef, Arby's Roast Beef Sandwiches, Mid; Choice of Adding: Horsey Sauce & Arby's Sauce",Sandwiches,251,,g,,560,27,9,1.5,80,1710,,45,33,9,2
537,2017,Arby's Super Roast Beef,Arby's,3,Super Roast Beef,"Super Roast Beef, Optional, Regional Menu",Sandwiches,210,,g,,440,19,6,1,50,1080,,43,23,11,3
546,2017,Arby's French Dip & Swiss Sandwich,Arby's,3,French Dip & Swiss Sandwich,"French Dip & Swiss Sandwich on Sub Roll w/ Roast Beef, Swiss & Au Jus Sauce, Roast Beef, Arby's Roast Beef Sandwiches",Sandwiches,327,,g,,540,23,11,1,85,2500,,50,35,3,2
549,2017,Arby's Reuben Sandwich,Arby's,3,Reuben Sandwich,"Reuben Sandwich on Marble Rye w/ Corned Beef, Swiss Cheese, Thousand Island & Sauerkraut, Signature Sandwiches",Sandwiches,308,,g,,680,31,8,0.5,80,2420,,62,37,5,4
587,2017,Arby's Roast Turkey & Swiss Sandwich,Arby's,3,Roast Turkey & Swiss Sandwich,"Roast Turkey & Swiss Sandwich on Honey Wheat Bread w/ Roast Turkey, Swiss Cheese, Tomatoes, Red Onion, Lettuce, Spicy Brown Honey Mustard & Mayonnaise, Turkey, Market Fresh",Sandwiches,326,,g,,710,28,7,0,65,1930,,79,38,15,5
588,2017,Arby's Roast Turkey Ranch & Bacon Sandwich,Arby's,3,Roast Turkey Ranch & Bacon Sandwich,"Roast Turkey Ranch & Bacon Sandwich on Honey Wheat Bread w/ Roast Turkey, Pepper Bacon, Cheddar Cheese, Tomato, Red Onion, Leaf Lettuce & Parmesan Peppercorn Ranch, Turkey, Pepper Bacon, Market Fresh",Sandwiches,344,,g,,800,34,10,0.5,80,2420,,79,45,16,5
10296,2017,Arby's Crispy Chicken Farmhouse Salad,Arby's,3,Crispy Chicken Farmhouse Salad,"Crispy Chicken Farmhouse Salad w/ Crispy Chicken, Pepper Bacon, Cheddar Cheese, Tomatoes, Mixed Lettuce Greens & Iceberg Lettuce w/out Dressing, also called Chopped Farmhouse Salad w/ Crispy Chicken, Salads, Pepper Bacon, Chicken; Choice of Adding: Light Italian Dressing, Dijon Honey Mustard Dressing, Buttermilk Ranch Dressing or Balsamic Vinaigrette Dressing",Salads,323,,g,,430,24,8,0,65,1000,,26,28,4,4
10301,2017,Arby's Arby Q,Arby's,3,Arby Q,"Arby Q, Optional, Regional Menu",Sandwiches,182,,g,,400,11,3.5,0.5,30,1250,,58,18,23,3
10304,2017,"Arby's Bacon, Egg & Cheese Biscuit",Arby's,3,"Bacon, Egg & Cheese Biscuit","Bacon, Egg & Cheese Biscuit, Breakfast",Sandwiches,173,,g,,490,29,15,0,160,1680,,38,19,4,1
10306,2017,"Arby's Bacon, Egg & Cheese Sourdough",Arby's,3,"Bacon, Egg & Cheese Sourdough","Bacon, Egg & Cheese Sourdough, Breakfast",Sandwiches,170,,g,,490,23,8,0,160,1220,,46,24,5,2
10307,2017,"Arby's Bacon, Egg & Cheese Wrap",Arby's,3,"Bacon, Egg & Cheese Wrap","Bacon, Egg & Cheese Wrap, Breakfast",Sandwiches,178,,g,,500,27,10,0,165,1310,,41,22,4,4
10320,2017,Arby's Crispy Fish Sandwich,Arby's,3,Crispy Fish Sandwich,"Crispy Fish Sandwich on Sesame Seed Bun w/ Crispy Fish Fillet, Lettuce & Tartar Sauce, Limited Time Offers, Fish",Sandwiches,228,,g,,570,25,4,0,45,990,,65,20,9,3
10323,2017,"Arby's Ham, Egg & Cheese Biscuit",Arby's,3,"Ham, Egg & Cheese Biscuit","Ham, Egg & Cheese Biscuit, Breakfast",Sandwiches,203,,g,,470,25,12,0,165,1830,,39,21,5,1
10324,2017,"Arby's Ham, Egg & Cheese Croissant",Arby's,3,"Ham, Egg & Cheese Croissant","Ham, Egg & Cheese Croissant, Breakfast",Sandwiches,169,,g,,420,23,11,0.5,195,1120,,30,21,5,1
10325,2017,"Arby's Ham, Egg & Cheese Sourdough",Arby's,3,"Ham, Egg & Cheese Sourdough","Ham, Egg & Cheese Sourdough, Breakfast",Sandwiches,200,,g,,470,19,6,0,165,1370,,47,26,6,2
10326,2017,"Arby's Ham, Egg & Cheese Wrap",Arby's,3,"Ham, Egg & Cheese Wrap","Ham, Egg & Cheese Wrap, Breakfast",Sandwiches,184,,g,,440,22,8,0,160,1280,,42,17,5,4
10336,2017,Arby's Roast Turkey & Swiss Wrap,Arby's,3,Roast Turkey & Swiss Wrap,"Roast Turkey & Swiss Wrap on Grain Wrap w/ Roast Turkey, Swiss Cheese, Tomatoes, Red Onion, Lettuce, Spicy Brown Honey Mustard & Mayonnaise, Turkey, Market Fresh",Sandwiches,261,,g,,520,27,9,0,65,1640,,39,30,6,4
10338,2017,"Arby's Roast Turkey, Ranch & Bacon Wrap",Arby's,3,"Roast Turkey, Ranch & Bacon Wrap","Roast Turkey, Ranch & Bacon Wrap on Grain Wrap w/ Roast Turkey, Pepper Bacon, Cheddar Cheese, Tomato, Red Onion, Leaf Lettuce & Parmesan Peppercorn Ranch, Turkey, Pepper Bacon, Market Fresh",Sandwiches,279,,g,,620,34,11,0.5,85,2130,,39,37,6,4
10341,2017,"Arby's Sausage, Egg & Cheese Biscuit",Arby's,3,"Sausage, Egg & Cheese Biscuit","Sausage, Egg & Cheese Biscuit, Breakfast",Sandwiches,204,,g,,620,43,22,0,185,1830,,36,21,6,1
10342,2017,"Arby's Sausage, Egg & Cheese Croissant",Arby's,3,"Sausage, Egg & Cheese Croissant","Sausage, Egg & Cheese Croissant, Breakfast",Sandwiches,178,,g,,590,44,19,0.5,215,1280,,30,20,5,1
